x xp y yp
0.0033485 0.0025989 -0.0091195 -0.00037342
-0.013607 -0.00085284 -0.011613 -0.0014243
0.033975 -0.00069743 0.02396 -0.00027139
-0.005734 0.0010327 -0.017859 0.00079759
-0.0053885 0.00024503 -0.0037745 -0.00099
-0.00034278 0.0010521 -0.0017394 -0.0012197
0.022936 -0.00015519 0.013016 -0.00015201
0.010632 -0.0020739 0.0018597 -0.00042375
0.014075 0.000078821 0.016121 -0.0011818
0.0070658 -0.0004568 -0.0053377 -0.0012477
-0.004396 0.00068889 0.028378 -0.00034867
0.015224 -0.00086224 0.0050186 -0.00070741
-0.0069021 -0.000052799 0.0044952 -0.0011087
-0.011834 -0.00056215 -0.0069631 0.00054089
0.0082468 0.00092271 0.011105 -0.0014137
-0.016535 -0.0010345 0.012905 -0.00034986
0.015465 -0.0024863 -0.022671 0.000070498
-0.0075897 0.00049475 0.010619 0.00050538
0.037609 0.00098484 0.016616 -0.00014223
0.0040893 -0.00043735 -0.020358 -0.00014871
0.012147 -0.00055766 -0.01011 -0.0011924
0.0031812 0.00058353 -0.0056931 0.0012521
-0.014176 0.00063559 0.0015108 0.00014651
0.017571 -0.00033418 0.0012462 -0.0019664
0.026954 -0.0029746 -0.0094666 -0.0010762
0.0044362 -0.00010741 -0.0087094 0.00087181
-0.0077644 -0.00035903 0.020141 -0.00015611
0.012024 -0.00033617 -0.016245 0.00038819
-0.0018692 0.001758 0.0059425 0.000057606
-0.013077 -0.00028611 -0.010441 0.000064055
0.009138 -0.0027663 -0.0037586 -0.00037905
-0.010868 0.0010525 -0.016689 0.0014612
-0.00033144 0.0024458 0.0081242 -0.00054809
-0.0010853 0.00060482 0.019835 0.00095581
-0.0058271 -0.000082549 0.01379 -0.0010002
-0.0033337 0.0034197 0.010246 0.00053744
0.00081527 -0.00048357 0.0013604 -0.00086985
-0.0012914 0.00062203 -0.0077516 0.00068173
0.0095317 -0.0021414 -0.0022161 0.0010765
-0.027341 -0.0015232 -0.0040074 -0.00046575
0.0068695 0.000021159 0.014072 0.00029222
-0.01484 -0.00034403 0.030442 -0.0013638
0.0048827 -0.0026829 -0.0056091 -0.00025096
0.0036305 -0.0010584 -0.0040262 0.0010768
0.011968 -0.0011643 -0.019957 -0.000035443
0.0019272 -0.0015976 0.0053249 0.0013016
-0.0048907 -0.00074988 0.0063284 0.00010077
0.020065 -0.00066285 -0.000083113 -0.00023024
-0.0078961 0.0020079 0.001641 -0.000014073
0.0017221 -0.00044731 -0.0031387 0.00088728
-0.024694 -0.00020381 -0.023481 -0.000941
-0.00096377 0.0019108 -0.020038 -0.00068837
-0.011645 -0.0017371 -0.014747 -0.00035351
0.008356 0.0019971 0.018902 -0.000039502
-0.00082231 0.00021182 0.019782 -0.00044191
0.0057838 -0.00082209 0.0081799 0.000020596
-0.016561 -0.00089009 -0.0055822 0.0014935
0.020538 0.00051761 0.022522 0.00097378
0.03031 -0.00015605 0.0099221 0.0005676
0.014133 -0.0018906 0.0034754 0.00027819
0.0093099 -0.0021661 -0.010351 -0.00059499
-0.0042732 0.0021032 -0.0042084 0.0010722
0.0038903 -0.00015202 0.0078427 -0.001768
-0.0018456 -0.00077315 -0.0094049 0.0011352
-0.0042723 -0.00018322 0.016848 0.00026807
0.0017683 0.0013867 0.024068 0.00022644
0.025337 -0.00083961 -0.017674 0.00019993
0.027891 0.000044486 0.012335 -0.00011215
-0.0010978 -0.0012731 -0.015629 -0.00023028
0.001877 0.00068474 0.017097 0.00053219
-0.0006352 -0.0012954 -0.015 0.00065414
-0.00055635 -0.00033975 -0.011816 0.00055244
-0.030827 0.00043966 0.010077 0.001737
-0.0038752 -0.00027767 -0.029559 0.0011541
-0.022726 -0.00044529 0.024118 0.00080074
-0.0037227 -0.00069164 -0.0047478 -0.00079535
-0.010699 -0.0010145 -0.011361 0.00033905
-0.00015928 -0.000062366 0.023775 -0.0012334
-0.017769 -0.003365 -0.0012102 0.00025199
0.013052 -0.00086681 0.0059788 -0.0002582
0.0013243 -0.0013305 0.0075168 0.000048271
0.0077768 -0.00062286 -0.013472 -0.0013982
0.037489 0.00061199 -0.0019339 -0.000019071
0.021961 0.0014347 -0.0095797 0.0017823
0.0058377 0.000069787 0.0068892 0.00038275
0.0074094 -0.00066661 -0.0055699 0.00073645
0.032639 -0.00098922 0.013516 0.00042918
0.0078872 -0.00031821 0.018172 0.00010983
0.001921 -0.0014686 0.0041717 0.00034733
-0.0032365 -0.00058149 0.011335 0.0022797
0.0064456 -0.00079862 0.010746 0.00034332
0.0078114 0.00057631 -0.014595 0.00036051
-0.011785 0.00018511 -0.018083 0.00085692
0.01326 -0.00024491 0.0049999 -0.0010177
-0.010151 -0.00086672 -0.0051874 0.00080355
0.0027881 -0.000020552 0.0018859 -0.0012916
-0.011555 -0.0026692 -0.0010599 -0.00074773
0.017781 -0.00076877 -0.013029 -0.001285
0.023164 -0.00063465 0.00029451 -0.0010377
0.0041786 0.0035279 0.0057432 0.00013407
0.013675 0.00058816 0.013849 -0.00024419
0.002227 0.0023468 0.00085495 -0.00031069
-0.0042955 -0.00041955 -0.0089976 -0.00018475
-0.0049612 -0.00064258 -0.0041697 -0.00016829
0.0061605 0.000027471 0.015475 -0.001872
-0.0095569 -0.0013237 -0.011366 0.0007925
0.0098943 -0.0011538 0.013115 -0.00015198
0.028679 0.00056114 0.025341 -0.00052494
0.0075699 -0.00095439 -0.0034294 0.00123
0.0049254 -0.001241 -0.010359 -0.00019332
-0.013787 0.0019701 -0.010995 0.00095153
-0.022062 0.0021782 0.016393 -0.001007
0.016841 -0.001082 0.024615 0.00046694
0.0057612 0.00030964 0.0086823 0.00054343
-0.019596 -0.000058348 -0.026851 0.00025716
-0.0068403 -0.00011961 -0.017259 -0.0013221
0.0080445 -0.00019248 0.018803 -0.00094535
0.015715 -0.00032391 -0.00078037 -0.0014064
0.00073135 0.0025194 0.02278 0.0010306
0.0034874 0.0023173 -0.025906 0.000029678
-0.014314 -0.00068423 -0.0072556 0.0010629
-0.0038922 -0.0020365 0.001759 0.00086106
0.010675 0.00015375 0.02042 0.00020706
-0.00086791 0.0030442 0.0092371 -0.00052412
-0.019806 0.00079973 0.029554 -0.00021176
0.0060782 -0.0002516 -0.0010971 0.0010009
-0.017433 -0.0005013 0.029394 0.000015225
-0.0010081 -0.00040943 -0.0024057 0.00034957
