Particle #,Steps,Kill Event,Charge,Starting Global x-Position (mm),Starting Global y-Position (mm),Starting Global z-Position (mm),Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Starting Momentum (GeV/c),Ending Momentum (GeV/c),Delta Momentum (GeV/c),Steps Inside Short Quad,Distance Inside Short Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Long Quad,Distance Inside Long Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Standoff Plate,Distance Inside Standoff Plate (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff,Distance Inside HV Standoff (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff Screws,Distance Inside HV Standoff Screws (cm),Total # of Photons Released,# of Detectable Photons Released,dt,Pair Produced,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
0,7175,Calorimeter Contact,1.0,4817.970,5235.772,10.848,0.0344900612771,0.0132007780983,1.8188153,1.8188269,0.0000117,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,7.175000e-09,1.73454588268,1.57186713133,1.35727385433
0,16745,Calorimeter Contact,1.0,3075.218,-6398.624,8.176,-0.0973075497521,0.00754587089603,2.9409256,2.9409298,0.0000042,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.674500e-08,1.55385678861,1.57065197025,1.60340186629
0,4744,Calorimeter Top Contact,1.0,-7090.426,613.868,-0.586,0.0,0.0,1.8843139,1.8843139,0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,4.744000e-09,0,0,0
0,8160,Calorimeter Contact,1.0,-6680.301,-2405.746,-13.049,0.04648410325,-0.0095878435736,1.8738041,1.8738253,0.0000212,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,8.160000e-09,1.7257935014,1.5722423717,1.3660350435
0,9080,Calorimeter Contact,1.0,6552.308,-2787.138,0.406,0.0598845404382,0.00204462555312,2.4346407,1.1599960,-1.2746447,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,18.0,0.539626392278,1,1,6.0,0.179875457347,0,0,1.000000e-12,0.0,9.080000e-09,1.8235517624,1.57139622273,1.26815598611
0,6631,Calorimeter Top Contact,1.0,-5046.550,-5028.359,6.374,0.0,0.0,2.2734053,2.2734302,0.0000249,0.0,0.0,0,0,21.0,0.629564145897,0,0,0.0,0.0,0,0,22.0,0.659543390939,0,0,0.0,0.0,0,0,1.000000e-12,0.0,6.631000e-09,0,0,0
0,11232,Calorimeter Contact,1.0,-4779.438,5254.355,-8.009,0.04689623751,-0.00860387122376,2.3158981,2.0430941,-0.2728040,0.0,0.0,0,0,25.0,0.749481122182,1,1,11.0,0.329771693486,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.123200e-08,1.6980550317,1.57065145663,1.39381276599
0,9245,Calorimeter Contact,1.0,6569.815,2713.434,1.759,-0.0751604312181,0.00456541943071,2.5829830,2.5829967,0.0000137,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,9.245000e-09,1.60006056068,1.57180094616,1.49194003248
0,14965,Calorimeter Contact,1.0,-4214.749,5748.965,10.343,-0.0906367308127,0.00459308897427,2.8460909,2.8461074,0.0000165,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.496500e-08,1.57391421947,1.56945211451,1.52188230113
0,4867,Calorimeter Top Contact,1.0,5573.910,4442.442,-0.642,0.0,0.0,1.9582594,1.9582841,0.0000247,0.0,0.0,0,0,16.0,0.47966791647,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,4.867000e-09,0,0,0
